x, y ,b, r
1468, 265, 9, 0.3607843137254902
1695, 441, 8, 0.592156862745098
2760, 1036, 1, 0.7176470588235294
425, 1171, 4, 0.4549019607843137
475, 1230, 3, 0.4666666666666667
1548, 1273, 3, 0.2784313725490196
800, 1274, 3, 0.18823529411764706
1952, 1308, 1, 0.7372549019607844
2130, 1360, 3, 0.3607843137254902
130, 1430, 3, 0.38823529411764707
2806, 1519, 3, 0.34901960784313724
1040, 1540, 2, 0.6784313725490196
1162, 1599, 3, 0.6235294117647059
2434, 1619, 2, 0.42745098039215684
2798, 1649, 4, 0.6274509803921569
842, 1665, 1, 0.6431372549019608
2939, 1973, 2, 0.3803921568627451
512, 2017, 3, 0.7333333333333333
1627, 2039, 4, 0.396078431372549
1489, 2081, 3, 0.25098039215686274
567, 2099, 3, 0.3803921568627451
2374, 2210, 3, 0.6941176470588235
1520, 2400, 3, 0.2901960784313726
1897, 2415, 3, 0.34509803921568627
153, 2477, 3, 0.49411764705882355
1683, 2510, 4, 0.44313725490196076
2143, 2524, 5, 0.43137254901960786
798, 2576, 3, 0.35294117647058826
1261, 2827, 3, 0.2980392156862745
703, 2880, 3, 0.3686274509803922
2176, 2900, 3, 0.29411764705882354
785, 2919, 3, 0.4235294117647059
1454, 3022, 1, 0.5647058823529412
1365, 3165, 4, 0.8745098039215686
1627, 3306, 5, 0.7254901960784313
1441, 3843, 7, 0.807843137254902
