Name, X, Y, Radius, Brightness
0, 832, 13, 1, 0.09803921568627451
1, 3171, 66, 1, 0.09411764705882353
2, 1401, 81, 2, 0.0784313725490196
3, 1144, 133, 2, 0.047058823529411764
4, 1899, 163, 2, 0.09803921568627451
5, 1401, 171, 2, 0.09019607843137255
6, 208, 203, 2, 0.08627450980392157
7, 2741, 215, 1, 0.10196078431372549
8, 1743, 305, 3, 0.09019607843137255
9, 2791, 349, 1, 0.09411764705882353
10, 1650, 362, 1, 0.09803921568627451
11, 3100, 415, 2, 0.08627450980392157
12, 2274, 432, 1, 0.09019607843137255
13, 2432, 487, 1, 0.07058823529411765
14, 2049, 506, 2, 0.07058823529411765
15, 1610, 583, 2, 0.0784313725490196
16, 2522, 585, 2, 0.11764705882352941
17, 1910, 595, 2, 0.0784313725490196
18, 1100, 606, 1, 0.08627450980392157
19, 29, 608, 1, 0.10980392156862745
20, 1468, 670, 1, 0.10196078431372549
21, 2398, 693, 1, 0.0784313725490196
22, 2252, 721, 1, 0.09019607843137255
23, 3352, 747, 3, 0.08627450980392157
24, 168, 757, 1, 0.10980392156862745
25, 1848, 796, 1, 0.08627450980392157
26, 1721, 799, 1, 0.10196078431372549
27, 2942, 801, 1, 0.09411764705882353
28, 1638, 827, 1, 0.09411764705882353
29, 599, 829, 3, 0.09803921568627451
30, 2535, 839, 1, 0.08235294117647059
31, 3443, 848, 2, 0.08627450980392157
32, 1243, 859, 1, 0.08627450980392157
33, 2169, 883, 1, 0.09411764705882353
34, 710, 920, 1, 0.0784313725490196
35, 3372, 938, 1, 0.10588235294117647
36, 2013, 958, 1, 0.054901960784313725
37, 1148, 961, 2, 0.06274509803921569
38, 2724, 981, 1, 0.09411764705882353
39, 2602, 986, 3, 0.08627450980392157
40, 2108, 993, 2, 0.10196078431372549
41, 3285, 1013, 3, 0.0784313725490196
42, 1244, 1013, 1, 0.10196078431372549
43, 2164, 1025, 1, 0.10196078431372549
44, 2106, 1070, 2, 0.06666666666666667
45, 1187, 1110, 2, 0.08627450980392157
46, 1496, 1150, 2, 0.08627450980392157
47, 1373, 1153, 1, 0.08235294117647059
48, 2689, 1156, 1, 0.10588235294117647
49, 3388, 1174, 1, 0.09411764705882353
50, 433, 1183, 2, 0.07450980392156863
51, 1606, 1195, 2, 0.054901960784313725
52, 1207, 1211, 3, 0.08627450980392157
53, 1662, 1214, 1, 0.08627450980392157
54, 2369, 1221, 1, 0.10980392156862745
55, 2432, 1278, 1, 0.08235294117647059
56, 3021, 1326, 1, 0.06274509803921569
57, 2428, 1332, 1, 0.10980392156862745
58, 864, 1341, 1, 0.09411764705882353
59, 3278, 1341, 1, 0.09803921568627451
60, 2661, 1377, 1, 0.11372549019607843
61, 1677, 1378, 1, 0.08627450980392157
62, 2578, 1402, 1, 0.09411764705882353
63, 2954, 1423, 12, 0.054901960784313725
64, 1321, 1423, 2, 0.09411764705882353
65, 3277, 1425, 1, 0.06274509803921569
66, 1401, 1444, 2, 0.08627450980392157
67, 2630, 1460, 2, 0.09803921568627451
68, 2519, 1508, 4, 0.08235294117647059
69, 1510, 1508, 1, 0.10588235294117647
70, 713, 1520, 3, 0.11372549019607843
71, 690, 1543, 1, 0.10980392156862745
72, 152, 1556, 1, 0.10196078431372549
73, 2064, 1563, 2, 0.07058823529411765
74, 3261, 1587, 2, 0.08235294117647059
75, 1156, 1607, 2, 0.08235294117647059
76, 3412, 1623, 1, 0.09803921568627451
77, 1310, 1646, 1, 0.08627450980392157
78, 196, 1662, 1, 0.09019607843137255
79, 2663, 1685, 1, 0.08627450980392157
80, 867, 1705, 2, 0.09019607843137255
81, 2338, 1728, 1, 0.10196078431372549
82, 1003, 1733, 1, 0.10196078431372549
83, 634, 1766, 2, 0.07058823529411765
84, 3251, 1861, 3, 0.03529411764705882
85, 2128, 1866, 1, 0.10196078431372549
86, 1323, 1918, 2, 0.09411764705882353
87, 1891, 1918, 1, 0.0784313725490196
