x, y ,b, r
2826, 503, 3, 0.6235294117647059
37, 1039, 8, 0.4823529411764706
1223, 1120, 3, 0.596078431372549
1425, 1138, 5, 0.5803921568627451
1352, 1249, 2, 0.5647058823529412
247, 1252, 4, 0.5058823529411764
1621, 1298, 4, 0.5843137254901961
1610, 1363, 2, 0.6470588235294118
1391, 1381, 3, 0.9568627450980393
1067, 1425, 3, 0.41568627450980394
755, 1428, 3, 0.3843137254901961
982, 1628, 2, 0.40784313725490196
555, 1741, 2, 0.4235294117647059
1702, 1784, 3, 0.4235294117647059
561, 1887, 3, 0.36470588235294116
1230, 1885, 3, 0.6549019607843137
747, 1969, 4, 0.9568627450980393
969, 2076, 2, 0.5803921568627451
1097, 2145, 3, 0.5254901960784314
1477, 2213, 2, 0.3843137254901961
1103, 2245, 3, 0.7058823529411765
2902, 2252, 2, 0.7725490196078432
2331, 2311, 5, 0.4666666666666667
634, 2320, 2, 0.49019607843137253
1903, 2352, 3, 0.7764705882352941
671, 2377, 2, 0.6313725490196078
981, 2397, 1, 0.7764705882352941
2027, 2452, 2, 0.48627450980392156
365, 2481, 1, 0.807843137254902
999, 2517, 2, 0.7254901960784313
223, 2604, 7, 0.4980392156862745
1305, 2634, 5, 0.9058823529411765
2484, 2730, 7, 0.6980392156862745
1068, 2732, 4, 0.49411764705882355
2144, 2767, 1, 0.7333333333333333
1497, 2805, 4, 0.6941176470588235
931, 2828, 2, 0.6392156862745098
406, 2878, 3, 0.7803921568627451
2243, 2893, 4, 0.5333333333333333
2406, 2908, 4, 0.4588235294117647
2248, 2939, 3, 0.43529411764705883
874, 2952, 1, 0.6784313725490196
179, 3076, 5, 0.6352941176470588
1825, 3114, 4, 0.611764705882353
1298, 3479, 1, 0.7176470588235294
927, 3703, 6, 0.6549019607843137
2494, 3738, 2, 0.7725490196078432
916, 3836, 1, 0.7843137254901961
2040, 4007, 4, 0.5686274509803921
