x, y ,b, r
182, 15, 1, 0.2549019607843137
1443, 15, 2, 0.13725490196078433
1419, 18, 3, 0.1568627450980392
1899, 31, 2, 0.12941176470588237
945, 40, 2, 0.13725490196078433
1155, 44, 4, 0.2784313725490196
1109, 56, 4, 0.1568627450980392
1955, 55, 2, 0.1568627450980392
1217, 60, 2, 0.14901960784313725
517, 63, 1, 0.13333333333333333
2093, 76, 7, 0.08627450980392157
1572, 83, 3, 0.20784313725490197
712, 86, 2, 0.15294117647058825
115, 109, 1, 0.1803921568627451
1537, 111, 3, 0.1843137254901961
1724, 111, 1, 0.13333333333333333
803, 134, 4, 0.20784313725490197
1376, 140, 2, 0.12941176470588237
29, 142, 1, 0.17647058823529413
1343, 142, 2, 0.1411764705882353
913, 144, 1, 0.4392156862745098
116, 153, 2, 0.13725490196078433
712, 159, 2, 0.1450980392156863
1312, 159, 2, 0.1411764705882353
1981, 172, 1, 0.1568627450980392
161, 184, 2, 0.1607843137254902
332, 189, 2, 0.1411764705882353
1264, 207, 1, 0.14901960784313725
1427, 201, 2, 0.1450980392156863
1143, 209, 2, 0.13725490196078433
233, 214, 2, 0.13725490196078433
149, 216, 2, 0.13333333333333333
124, 219, 2, 0.3333333333333333
34, 236, 1, 0.14901960784313725
836, 231, 2, 0.19215686274509805
1589, 237, 2, 0.13333333333333333
1433, 262, 1, 0.5529411764705883
1261, 270, 4, 0.3843137254901961
488, 272, 4, 0.16470588235294117
1955, 281, 2, 0.1411764705882353
1323, 304, 2, 0.1411764705882353
619, 339, 1, 0.15294117647058825
758, 342, 3, 0.1568627450980392
1923, 342, 2, 0.15294117647058825
1922, 356, 2, 0.13725490196078433
1940, 381, 2, 0.1411764705882353
1989, 362, 1, 0.15294117647058825
922, 363, 2, 0.14901960784313725
1364, 369, 1, 0.13333333333333333
492, 377, 2, 0.15294117647058825
2045, 378, 2, 0.1450980392156863
1982, 377, 1, 0.611764705882353
1910, 381, 2, 0.1411764705882353
586, 387, 2, 0.15294117647058825
1897, 383, 2, 0.1450980392156863
470, 394, 2, 0.12549019607843137
915, 396, 2, 0.1411764705882353
1872, 399, 2, 0.15294117647058825
1720, 401, 2, 0.13725490196078433
648, 403, 3, 0.20392156862745098
178, 448, 2, 0.13725490196078433
997, 453, 5, 0.14901960784313725
191, 484, 2, 0.13725490196078433
1289, 461, 3, 0.1568627450980392
1439, 461, 2, 0.2901960784313726
546, 477, 2, 0.23137254901960785
522, 482, 2, 0.1450980392156863
481, 491, 2, 0.35294117647058826
1605, 494, 2, 0.1607843137254902
108, 517, 2, 0.1568627450980392
1593, 520, 2, 0.1411764705882353
1953, 538, 2, 0.1450980392156863
739, 544, 2, 0.1411764705882353
894, 553, 5, 0.1568627450980392
773, 580, 2, 0.19215686274509805
570, 569, 2, 0.1568627450980392
1171, 572, 5, 0.1607843137254902
1551, 584, 2, 0.6078431372549019
964, 613, 2, 0.17254901960784313
