x, y ,b, r
1882, 621, 2, 0.1411764705882353
1572, 630, 4, 0.7098039215686275
1984, 633, 2, 0.1568627450980392
554, 636, 2, 0.13333333333333333
1985, 665, 3, 0.15294117647058825
713, 647, 2, 0.13725490196078433
1279, 654, 2, 0.14901960784313725
1672, 666, 5, 0.16862745098039217
1132, 686, 4, 0.14901960784313725
1756, 695, 2, 0.13333333333333333
34, 705, 1, 0.19607843137254902
245, 708, 2, 0.1568627450980392
789, 747, 1, 0.32941176470588235
1119, 748, 1, 0.13333333333333333
580, 768, 2, 0.1450980392156863
1650, 772, 2, 0.1411764705882353
340, 773, 2, 0.12549019607843137
241, 783, 2, 0.13333333333333333
1644, 794, 2, 0.17254901960784313
1211, 808, 4, 0.5529411764705883
137, 820, 1, 0.25098039215686274
1208, 835, 2, 0.27058823529411763
429, 850, 2, 0.26666666666666666
302, 854, 1, 0.7411764705882353
1401, 857, 2, 0.13725490196078433
1786, 876, 2, 0.20784313725490197
841, 872, 3, 0.1843137254901961
278, 881, 2, 0.1568627450980392
151, 881, 2, 0.14901960784313725
970, 887, 2, 0.13333333333333333
696, 901, 2, 0.12549019607843137
453, 907, 1, 0.27450980392156865
102, 914, 2, 0.15294117647058825
631, 919, 2, 0.17647058823529413
1266, 912, 6, 0.9019607843137255
1433, 924, 2, 0.30196078431372547
423, 943, 2, 0.12941176470588237
183, 955, 1, 0.5529411764705883
1853, 950, 2, 0.1568627450980392
1136, 952, 1, 0.13333333333333333
1284, 975, 2, 0.1450980392156863
1331, 963, 1, 0.13333333333333333
1294, 997, 1, 0.12549019607843137
1912, 982, 3, 0.1568627450980392
1434, 984, 5, 0.14901960784313725
498, 1016, 2, 0.1568627450980392
1017, 1040, 2, 0.14901960784313725
404, 1045, 2, 0.15294117647058825
1028, 1077, 4, 0.1450980392156863
300, 1065, 5, 0.17254901960784313
668, 1085, 2, 0.1450980392156863
215, 1089, 3, 0.1607843137254902
1386, 1114, 2, 0.16470588235294117
1837, 1109, 2, 0.14901960784313725
1533, 1112, 2, 0.26666666666666666
144, 1113, 1, 0.2627450980392157
258, 1114, 1, 0.1411764705882353
717, 1118, 2, 0.2784313725490196
23, 1119, 1, 0.22745098039215686
377, 1147, 2, 0.15294117647058825
1372, 1153, 2, 0.2784313725490196
257, 1160, 2, 0.1411764705882353
753, 1166, 5, 0.15294117647058825
205, 1184, 2, 0.1568627450980392
2013, 1208, 2, 0.21176470588235294
1757, 1193, 4, 0.27450980392156865
50, 1200, 1, 0.14901960784313725
185, 1212, 2, 0.1607843137254902
489, 1219, 2, 0.6705882352941176
629, 1220, 2, 0.15294117647058825
973, 1226, 2, 0.14901960784313725
1580, 1225, 2, 0.12941176470588237
607, 1231, 2, 0.15294117647058825
