x, y ,b, r
66, 372, 5, 0.8784313725490196
671, 379, 1, 0.6980392156862745
2534, 508, 7, 0.5294117647058824
2312, 733, 7, 0.7411764705882353
88, 955, 6, 0.8313725490196079
1377, 1083, 3, 0.5058823529411764
2532, 1186, 3, 0.6980392156862745
466, 1246, 3, 0.9529411764705882
1089, 1363, 3, 0.30980392156862746
2460, 1507, 4, 0.43529411764705883
1790, 1527, 1, 0.596078431372549
876, 1684, 2, 0.5803921568627451
1580, 1687, 3, 0.47843137254901963
1031, 1688, 4, 0.5019607843137255
1151, 1702, 3, 0.4588235294117647
2224, 1715, 2, 0.5647058823529412
1121, 1725, 1, 0.7254901960784313
1257, 1778, 2, 0.6431372549019608
714, 1793, 3, 0.43529411764705883
2871, 1819, 4, 0.6627450980392157
282, 1863, 3, 0.8666666666666667
2234, 1874, 1, 0.8156862745098039
2196, 1885, 2, 0.6235294117647059
2198, 1922, 5, 0.5372549019607843
1204, 1893, 2, 0.396078431372549
399, 1900, 1, 0.7176470588235294
413, 1999, 3, 0.4196078431372549
1988, 2036, 5, 0.803921568627451
1650, 2091, 3, 0.4627450980392157
1775, 2161, 2, 0.5372549019607843
2030, 2233, 1, 0.7372549019607844
1605, 2284, 1, 0.8352941176470589
1254, 2316, 2, 0.7411764705882353
324, 2330, 4, 0.6431372549019608
1486, 2335, 2, 0.8
1586, 2407, 1, 0.7490196078431373
964, 2417, 2, 0.7254901960784313
2265, 2443, 3, 0.5098039215686274
815, 2754, 2, 0.8117647058823529
1729, 2794, 3, 0.5490196078431373
1287, 2852, 1, 0.8980392156862745
2379, 3519, 8, 0.9411764705882353
1120, 3547, 5, 0.8823529411764706
1345, 3663, 2, 0.792156862745098
2692, 3754, 2, 0.8549019607843137
1857, 3998, 4, 0.8784313725490196
