x, y ,b, r
2444, 24, 4, 0.9490196078431372
228, 130, 5, 0.7843137254901961
2500, 656, 4, 0.9372549019607843
2204, 686, 4, 0.7019607843137254
1736, 753, 8, 0.8431372549019608
1317, 814, 5, 0.615686274509804
2620, 819, 5, 0.8862745098039215
1033, 1433, 2, 0.7843137254901961
946, 1799, 3, 0.803921568627451
1707, 1920, 4, 0.7686274509803922
1632, 2215, 9, 0.6980392156862745
2166, 2458, 5, 0.7058823529411765
146, 2695, 1, 0.796078431372549
1910, 2809, 4, 0.8509803921568627
2037, 2903, 7, 0.7490196078431373
1084, 3127, 8, 0.8470588235294118
1221, 3175, 8, 0.7215686274509804
1368, 3203, 7, 0.6745098039215687
1062, 3216, 5, 0.615686274509804
2864, 3472, 1, 0.8196078431372549
873, 3487, 8, 0.6078431372549019
1313, 3515, 5, 0.6784313725490196
283, 3521, 7, 0.6235294117647059
827, 3519, 6, 0.8117647058823529
2715, 3631, 5, 0.7254901960784313
1036, 3992, 3, 0.7568627450980392
