x, y ,b, r
3001, 165, 3, 0.4470588235294118
1907, 379, 4, 0.5607843137254902
1486, 700, 2, 0.8156862745098039
1385, 1015, 3, 0.29411764705882354
1326, 1044, 3, 0.5568627450980392
2220, 1183, 3, 0.7529411764705882
2123, 1213, 3, 0.3843137254901961
1500, 1376, 3, 0.5843137254901961
865, 1627, 3, 0.403921568627451
2431, 1656, 3, 0.49019607843137253
1402, 1789, 3, 0.403921568627451
1182, 1902, 3, 0.4588235294117647
1868, 2023, 4, 0.6509803921568628
2485, 2051, 2, 0.5529411764705883
1657, 2216, 4, 0.44313725490196076
2224, 2273, 4, 0.792156862745098
2139, 2508, 3, 0.5254901960784314
1421, 2584, 2, 0.5137254901960784
2310, 2779, 5, 0.6588235294117647
1527, 2872, 1, 0.5843137254901961
2438, 3021, 4, 0.8156862745098039
2841, 3232, 5, 0.6549019607843137
321, 3277, 4, 0.7058823529411765
1910, 3363, 2, 0.7137254901960784
1301, 3540, 5, 0.5647058823529412
1393, 3735, 2, 0.6784313725490196
