Name, X, Y, Radius, Brightness
0, 2108, 56, 3, 0.08235294117647059
1, 1358, 179, 1, 0.10196078431372549
2, 765, 189, 2, 0.09411764705882353
3, 1729, 219, 1, 0.0784313725490196
4, 378, 250, 1, 0.08627450980392157
5, 3462, 356, 2, 0.07058823529411765
6, 441, 392, 1, 0.10980392156862745
7, 666, 398, 1, 0.08235294117647059
8, 1095, 406, 2, 0.06666666666666667
9, 816, 524, 1, 0.07058823529411765
10, 1322, 538, 1, 0.11372549019607843
11, 1239, 542, 2, 0.06666666666666667
12, 1495, 548, 3, 0.0784313725490196
13, 1057, 550, 1, 0.0784313725490196
14, 2412, 569, 2, 0.050980392156862744
15, 1310, 617, 2, 0.0784313725490196
16, 1331, 631, 1, 0.09803921568627451
17, 1231, 658, 2, 0.03137254901960784
18, 2594, 662, 1, 0.09803921568627451
19, 2476, 714, 1, 0.10196078431372549
20, 1306, 723, 2, 0.09803921568627451
21, 674, 733, 2, 0.058823529411764705
22, 1258, 733, 2, 0.07058823529411765
23, 2780, 737, 2, 0.08627450980392157
24, 2066, 744, 1, 0.10980392156862745
25, 1140, 755, 1, 0.10588235294117647
26, 2831, 787, 3, 0.09411764705882353
27, 2297, 800, 1, 0.10588235294117647
28, 1650, 861, 1, 0.0784313725490196
29, 121, 862, 1, 0.11372549019607843
30, 1737, 866, 2, 0.09803921568627451
31, 1413, 869, 1, 0.08627450980392157
32, 40, 873, 1, 0.13333333333333333
33, 1357, 875, 1, 0.07450980392156863
34, 1602, 887, 2, 0.07058823529411765
35, 951, 887, 1, 0.09803921568627451
36, 1013, 895, 2, 0.08627450980392157
37, 1168, 900, 1, 0.10196078431372549
38, 328, 901, 1, 0.11764705882352941
39, 836, 919, 1, 0.10980392156862745
40, 2629, 935, 2, 0.054901960784313725
41, 447, 947, 1, 0.09411764705882353
42, 1068, 952, 4, 0.0784313725490196
43, 1873, 1005, 3, 0.10588235294117647
44, 3273, 1009, 1, 0.09019607843137255
45, 413, 1027, 1, 0.09803921568627451
46, 295, 1044, 1, 0.10980392156862745
47, 2017, 1046, 2, 0.10196078431372549
48, 128, 1061, 3, 0.07058823529411765
49, 3001, 1065, 2, 0.054901960784313725
50, 1322, 1093, 2, 0.0784313725490196
51, 1119, 1101, 1, 0.08627450980392157
52, 1622, 1117, 2, 0.10196078431372549
53, 1319, 1134, 1, 0.08235294117647059
54, 1816, 1136, 1, 0.10980392156862745
55, 3068, 1186, 1, 0.09019607843137255
56, 2546, 1191, 2, 0.11372549019607843
57, 3159, 1196, 1, 0.10196078431372549
58, 1915, 1199, 1, 0.07058823529411765
59, 2641, 1231, 2, 0.10196078431372549
60, 2373, 1283, 1, 0.09019607843137255
61, 1938, 1286, 1, 0.08235294117647059
62, 950, 1322, 2, 0.0784313725490196
63, 1555, 1330, 2, 0.050980392156862744
64, 2653, 1388, 1, 0.10196078431372549
65, 710, 1394, 2, 0.10980392156862745
66, 1771, 1405, 1, 0.10196078431372549
67, 1752, 1412, 1, 0.07058823529411765
68, 1081, 1449, 2, 0.043137254901960784
69, 2847, 1458, 3, 0.058823529411764705
70, 406, 1515, 2, 0.09803921568627451
71, 869, 1530, 2, 0.09411764705882353
72, 3214, 1534, 1, 0.08235294117647059
73, 2479, 1543, 1, 0.08627450980392157
74, 2847, 1631, 1, 0.07450980392156863
75, 1255, 1634, 1, 0.10588235294117647
76, 628, 1662, 2, 0.09411764705882353
77, 1638, 1737, 2, 0.09019607843137255
78, 1409, 1741, 2, 0.06666666666666667
79, 1247, 1773, 3, 0.047058823529411764
80, 1958, 1771, 1, 0.09019607843137255
81, 1353, 1783, 2, 0.10980392156862745
82, 2472, 1788, 1, 0.09803921568627451
83, 1203, 1819, 1, 0.07450980392156863
84, 2760, 1883, 3, 0.08627450980392157
85, 2570, 1935, 2, 0.08235294117647059
86, 2928, 1942, 1, 0.023529411764705882
87, 1413, 1978, 1, 0.050980392156862744
