x, y ,b, r
1989, 357, 3, 0.796078431372549
176, 564, 3, 0.5882352941176471
1483, 637, 2, 0.8784313725490196
2968, 821, 3, 0.7254901960784313
2540, 946, 3, 0.5294117647058824
2560, 1015, 5, 0.3843137254901961
218, 1334, 1, 0.7647058823529411
994, 1336, 3, 0.49411764705882355
1193, 1385, 5, 0.47843137254901963
1107, 1479, 1, 0.8745098039215686
471, 1564, 3, 0.4627450980392157
1366, 1566, 5, 0.4823529411764706
794, 1607, 3, 0.2549019607843137
677, 1796, 1, 0.7647058823529411
2260, 1867, 1, 0.6862745098039216
2256, 1941, 2, 0.6784313725490196
168, 1979, 3, 0.611764705882353
1385, 2047, 2, 0.3843137254901961
897, 2087, 4, 0.38823529411764707
374, 2112, 5, 0.47843137254901963
1818, 2244, 1, 0.6274509803921569
590, 2248, 3, 0.3843137254901961
717, 2336, 3, 0.6862745098039216
2180, 2415, 1, 0.4980392156862745
706, 2441, 3, 0.4980392156862745
740, 2582, 2, 0.5294117647058824
1513, 2641, 4, 0.43529411764705883
1994, 2640, 1, 0.7058823529411765
1937, 2645, 5, 0.5607843137254902
2474, 2650, 3, 0.40784313725490196
552, 2716, 3, 0.45098039215686275
1624, 2755, 2, 0.5843137254901961
862, 2868, 6, 0.5137254901960784
593, 2950, 5, 0.43137254901960786
1039, 3070, 5, 0.9411764705882353
2037, 3082, 7, 0.5725490196078431
1785, 3231, 4, 0.6745098039215687
1942, 3261, 4, 0.6980392156862745
1783, 3281, 3, 0.4588235294117647
1335, 3430, 4, 0.6823529411764706
287, 3995, 8, 0.3568627450980392
